Item,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63
0,10,8.425,7.54,9.175,6.775,8.335,9.73,5.41,9.85,9.895,9.04,9.16,8.785,7.495,7.765,7.39,8.425,8.965,7.66,9.325,8.86,8.47,9.145,7.87,7.84,8.485,9.355,8.875,6.955,7.825,6.82,9.505,9.4,9.16,7.645,9.91,13.905,7.495,14.895,8.38,8.245,8.755,9.43,8.68,7.3,7.885,8.215,9.625,8.425,8.71,9.235,8.725,9.505,9.22,6.91,8.8,8.59,9.505,9.76,9.865,8.725,9.04,9.01
1,7.03,6.76,6.625,2.89,6.445,4.465,6.505,4.615,7.735,6.595,4.105,6.25,8.815,5.8,4.54,7,6.01,5.41,3.91,2.62,4.96,6.85,8.745,8.605,6.925,4.255,7.855,2.77,3.115,7.36,7.045,5.89,6.82,4.405,3.79,3.82,7.555,4.735,7.195,5.065,7.63,5.47,7.99,6.865,8.05,5.56,2.92,6.19,6.58,3.895,4.54,6.13,8.11,3.325,4.48,4.54,4.855,5.29,5.995,2.515,7.495,5.425,7.51
2,9.76,9.04,8.86,9.295,7.855,8.635,9.43,9.925,9.835,9.805,9.43,9.25,8.995,13.23,7.705,7.825,9.19,14.655,8.935,8.56,9.325,9.1,9.01,8.815,7.63,8.575,8.485,9.13,7.78,8.68,6.55,9.28,9.16,7.555,5.785,9.385,8.785,8.2,9.475,9.085,8.68,8.965,9.085,8.605,8.05,7.33,7.375,9.745,8.47,8.455,8.185,8.8,9.7,9.295,5.74,9.1,9.04,9.385,9.775,9.895,8.185,9.73,8.785
3,9.235,6.16,5.575,6.865,4.945,8.245,8.8,6.235,7.6,9.265,8.32,6.91,8.905,7.855,5.38,5.065,6.79,8.56,7.435,11.82,8.89,7.42,9.72,5.815,7.105,8.29,7.6,6.28,3.34,6.1,3.835,6.055,8.77,7.795,6.745,9.64,15.71,4.18,9.49,7.57,6.025,7.99,8.02,6.91,3.43,3.28,6.22,7.195,6.22,8.335,6.475,6.625,8.395,8.515,3.67,8.155,7.105,7.24,9.085,9.73,7.93,8.425,8.035
4,5.545,2.86,5.965,2.08,2.8,3.64,6.55,1.705,7.285,5.065,4.405,3.505,4.6,4.9,3.31,3.67,4.78,3.43,3.4,3.58,4.195,9,4.585,5.905,5.455,4.66,6.295,2.635,2.2,5.17,3.22,5.695,6.28,3.745,2.965,4.645,5.005,3.235,5.5,4.24,5.215,6.895,4.975,6.37,6.52,4.435,3.295,4.51,5.11,5.515,3.895,4.075,5.125,1.9,2.98,3.175,5.515,5.875,5.305,3.055,5.71,4.705,5.71
5,6.76,6.115,5.53,4.075,4.765,5.86,6.955,4.78,8.005,6.67,5.5,4.495,6.01,4.945,3.955,4.105,4.765,4.195,4.06,4.27,6.205,5.62,5.32,5.65,5.11,4.81,6.49,2.995,3.085,5.125,2.92,5.335,6.025,3.445,3.19,5.32,6.76,4.75,10.485,4.51,5.35,6.28,7.675,6.13,4.75,3.385,4.57,5.605,5.785,6.715,3.865,4.66,6.595,4.21,3.49,5.265,5.215,6.505,6.13,5.02,4.66,6.805,7.165
6,10,5.92,4.03,4.57,5.005,6.91,8.74,5.695,8.635,9.43,7.615,7.24,10.665,6.925,4.285,4.645,7.42,9.3,7.03,9.28,8.815,7.45,7.48,6.025,7.03,8.53,6.67,6.88,3.22,6.655,3.445,6.91,9.1,8.71,6.895,8.335,11.505,5.545,8.71,8.065,5.26,8.485,8.65,7.855,5.965,6.13,7.645,8.485,6.205,7.9,5.17,8.68,8.365,7.78,4.435,7.375,6.175,8.815,9.76,9.445,7.66,8.41,8.905
7,7.195,6.97,5.155,3.865,4.375,4.81,7.78,4.45,8.38,4.57,4.18,5.815,5.56,4.735,3.49,3.565,5.2,6.525,4.435,3.97,5.815,6.415,4.36,6.07,5.8,5.53,6.475,3.385,3.445,5.35,3.625,5.545,7.06,4.78,1.6,3.43,6.145,3.325,6.505,5.275,4.6,5.125,8.02,6.22,4.03,3.04,3.94,6.775,5.035,6.025,5.53,4.39,7.87,2.74,4.3,3.22,3.985,6.46,5.635,2.11,4.93,6.49,7.675
8,6.235,7.975,7.015,4.03,5.29,6.385,7.855,5.425,8.44,8.065,6.775,6.835,6.43,7.015,4.24,4.495,4.63,5.62,4.705,4.99,6.91,9.255,5.86,5.725,6.22,4.3,6.94,2.77,2.05,5.26,3.61,5.29,7.45,5.065,3.43,6.85,6.76,3.625,7.705,7.15,5.455,6.865,7.15,6.355,5.755,4.615,4.645,6.715,5.68,5.95,7.5,6.325,7.585,5.365,4.405,6.415,5.845,6.775,6.265,6.445,7.45,6.61,5.83
9,6.505,5.455,4.975,4.015,3.745,6.28,6.82,4.795,8.185,7.93,5.86,5.77,6.625,6.135,3.46,3.82,5.26,4.9,4.09,5.17,7.405,7,5.635,5.59,5.545,5.815,5.905,2.365,2.545,5.875,3.16,6.07,6.295,4.57,3.955,4.915,9.615,3.94,5.2,5.605,4.33,6.67,7.135,4.48,4.45,3.34,4.03,6.415,4.555,6.715,5.23,4.66,8.275,4.255,4.09,4.195,5.665,6.295,4.375,5.8,5.155,7.075,6.595
