Item,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63
0,4.015,5.02,3.655,7.975,6.43,5.965,7.735,9.64,4.645,5.17,4.36,6.46,7.32,6.835,4.975,7.045,5.155,8.895,4.99,1.39,5.035,6.205,7.485,6.475,6.295,5.47,4.905,6.52,4.36,4.24,4.9,7.69,7.705,2.05,5.95,1.51,10.745,4.3,7.495,4.6,7.42,6.655,4.615,6.1,6.805,3.88,3.925,5.05,8.02,4.225,4.525,5.185,6.97,7.615,6.43,6.94,8.41,4.585,6.025,6.415,3.685,8.035,6.355
1,2.05,1.585,2.8,4.765,4.615,2.83,2.605,2.02,1.225,3.45,3.865,1.525,2.98,3.715,4.285,4.75,2.8,1.225,1.96,1.405,2.11,5.95,6.435,5.065,4.465,3.43,2.92,1.66,1.12,2.59,3.955,2.815,3.55,1.45,2.29,1.6,1.755,2.005,5.47,2.515,2.035,2.335,1.36,3.49,2.635,2.92,1.96,1.75,4.345,2.5,3.255,4.93,3.55,2.44,3.76,2.035,3.865,2.44,3.175,3.025,2.065,7.165,1.615
2,8.245,2.755,5.845,7.48,6.205,2.56,4.045,4.975,3.49,5.32,5.29,4.84,4.495,6.19,4.435,6.7,5.875,5.305,5.095,5.065,5.365,9.355,7.03,8.455,5.89,4.06,4.33,4.315,5.185,5.41,5.065,5.92,5.605,6.67,4.24,4.705,4.645,6.265,8.98,5.155,8.05,3.535,4.51,5.395,5.095,5.86,4.195,4.99,4.825,6.16,5.62,6.595,8.95,5.365,6.145,6.925,4.45,7.09,4.735,4.96,6.55,7.3,2.62
3,8.755,7.435,6.37,6.535,7.39,4.195,5.065,7.615,3.475,6.895,4.54,4.96,6.82,7.06,5.89,8.035,8.755,8.89,6.91,5.515,8.185,2.77,7.6,13.005,6.79,5.125,5.35,7.765,5.605,7,4.42,6.985,6.49,7.195,6.46,8.275,6.73,5.935,9.01,2.83,9.055,4.705,7,3.805,6.805,5.41,4.405,5.845,5.035,6.04,9.375,7.735,9.46,7.315,7.54,8.08,7.69,6.325,5.92,9.475,5.875,7.315,6.7
4,3.265,7.09,7.27,7.975,5.155,6.22,8.725,7.87,6.01,6.37,4.135,9.73,7.285,8.14,7.72,4.435,6.175,13.38,6.91,3.54,3.67,6.985,5.485,5.65,7.18,6.07,2.635,6.565,3.355,4.72,8.14,7.405,8.155,1.96,5.77,2.95,11.16,6.535,8.5,4.87,8.02,8.74,3.925,7.9,9.19,3.34,2.905,6.505,9.88,4.285,20.185,4.18,7,6.595,7.105,7.42,9.655,3.91,6.04,5.92,4.51,7.465,4.36
5,2.26,1.195,1.435,4.48,3.13,1.99,2.935,2.185,1.03,2.77,3.175,1.12,2.455,3.835,3.145,3.565,2.98,3.385,1.69,1.09,2.955,3.985,5.205,2.395,4.645,2.455,2.11,2.29,1.405,2.785,3.325,3.13,3.34,1.225,3.16,1.195,1.135,2.32,5.995,2.275,2.05,2.77,1.285,2.305,4.3,2.05,2.95,1.18,3.355,1.87,1.45,4.42,3.82,3.085,4.63,2.56,4.945,1.585,2.095,2.995,1.99,6.205,3.805
6,9.235,5.485,6.16,7.165,6.94,3.265,5.56,6.445,4.735,8.185,4.285,5.32,4.99,5.47,5.11,7.105,7.87,8.23,7.675,3.58,8.065,3.445,7.285,8.92,5.575,4.195,5.35,6.52,5.38,7.075,5.755,8.47,7.585,6.88,6.175,9.915,11.085,5.995,8.965,4.135,9.145,6.13,6.52,4.555,6.1,4.135,4.135,5.23,5.29,5.5,5.755,7.255,8.965,6.295,7.405,8.725,7.15,6.1,6.295,8.53,6.46,7.45,6.835
7,1.81,1.63,3.97,5.62,5.185,2.95,3.475,4.09,1.135,3.31,4.405,1.99,4.32,4.51,3.625,4.255,3.985,2.815,3.895,1.36,3.465,5.215,9.965,5.38,4.72,3.64,2.305,1.465,3.16,3.355,3.97,3.55,4.24,2.29,3.28,1.78,1.78,2.035,5.995,1.45,5.695,3.4,2.23,3.58,4.705,2.335,3.535,1.885,3.64,2.29,2.935,3.61,4.96,2.965,4.615,2.71,3.715,3.895,3.91,3.775,2.155,5.98,5.35
8,9.295,6.13,8.11,8.095,8.875,4.27,5.335,8.89,4,8.68,4.555,5.05,4.825,6.67,6.745,7.99,8.2,13.14,7.645,6.745,8.785,4.21,8.395,9.205,6.4,7.165,8.71,8.575,5.98,8.275,5.2,6.085,8.395,8.365,7.585,8.26,7.735,5.305,9.475,5.17,9.43,5.605,6.325,3.64,8.365,7.855,7.525,6.535,5.59,8.305,7.165,8.02,9.595,8.05,8.065,8.47,6.595,6.715,6.04,7.855,7.54,7.66,8.275
9,8.335,5.23,6.55,6.85,7.195,3.31,5.365,6.925,3.835,6.145,4.21,5.08,7.225,7.015,5.365,5.005,8.14,7.36,6.115,5.005,5.59,7.58,7.105,9.16,6.295,4.72,4.42,6.655,5.59,7.09,4.405,7,6.43,7.93,6.1,7.63,6.16,4.705,8.47,4.975,8.575,4.69,6.73,5.215,6.7,4.75,3.43,4.855,5.86,6.685,5.665,7.03,9.445,11.985,6.64,8.44,4.735,5.77,4.855,7.405,4.285,6.985,6.235
10,7.975,4.24,7.21,7.825,6.46,3.52,4.555,6.64,4.015,6.955,5.23,4.225,4.81,7.42,5.365,3.415,7.255,6.415,6.43,3.895,6.79,8.04,11.28,8.275,5.965,4.555,4.66,6.52,5.68,6.88,4.495,6.295,7.09,7.18,5.545,5.38,6.175,4.51,8.5,4.705,7.885,5.575,7.12,3.1,7.165,6.28,5.275,4.555,4.69,5.98,5.98,7.915,7.855,5.8,6.43,7.69,6.025,5.575,6.115,5.05,4.525,7.84,6.34
11,8.02,4.93,6.385,7.645,7.555,5.08,4.48,7.045,4.795,5.185,4.765,3.745,5.755,7.105,5.56,5.8,6.82,7.645,6.46,4.45,5.545,4.705,9.615,7.75,5.785,4.96,4.465,7.075,5.47,7.66,3.43,6.76,7.81,6.61,4.99,4.69,8.925,4.525,8.5,4.735,8.47,4.615,6.1,3.43,6.355,5.125,4.225,5.44,4.99,5.62,6.375,7.57,9.325,6.88,7.24,7.255,3.01,7.03,5.59,6.94,4.6,7.03,6.445
12,8.995,5.41,5.98,5.455,7.945,3.775,5.905,8.02,4.99,7.315,3.775,4.945,6.325,6.985,4.33,6.025,7.6,12.12,7.555,5.005,6.97,3.325,6.58,8.53,7.015,4.18,4.615,8.275,5.35,7.585,5.38,7.675,7.18,7.345,6.385,7.12,6.91,4.825,8.5,4.18,8.77,5.905,6.55,3.355,7.255,5.335,4.855,4.66,6.565,7,6.4,7.585,9.265,7.54,7.195,8.425,5.425,5.425,5.95,7.135,5.275,7.465,6.64
13,2.8,2.725,3.52,5.08,4.405,2.755,3.01,4.195,1.03,3.22,4.21,2.545,12.66,4.36,4.765,5.23,5.275,3.19,4.99,1.36,6.205,6.18,4.99,7.31,6.325,3.01,1.975,3.355,1.96,3.07,4.18,5.275,5.62,1.915,3.535,2.23,2.35,2.275,7.495,1.135,4.135,3.805,3.685,2.56,3.805,2.83,3.505,2.305,3.445,4.09,3.5,4.33,3.235,2.455,4.93,2.53,3.67,5.545,2.125,2.47,3.625,6.97,4.63
