Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.00199290039017797,14,24,1,2,1,,NaN,8.59,6.085,easy,2.505,"[4, '0,05 km', '22 m2', 3, '3,3 km', '30 m2']",452,-476,899,388,717,-383,267,-198,306,183,783,-98,1920,1080
1,1,11.0091250999831,4,28,1,2,1,q,4.94687850028276,5.17,3.43,medium,1.74,"[3, '2,2 km', '17 m2', 2, '3,8 km', '18 m2']",478,-433,851,373,748,-423,258,-149,356,178,821,-131,1920,1080
2,2,22.0102257002145,3,13,1,2,1,p,6.39769770018756,6.1,8.425,easy,2.325,"[3, '0,04 km', '18 m2', 4, '0,6 km', '20 m2']",512,-469,895,350,794,-443,308,-154,356,228,846,-174,1920,1080
3,3,33.0105399000458,6,26,1,2,1,p,4.52236710023135,6.655,9.04,easy,2.385,"[3, '0,1 km', '20 m2', 5, '1,7 km', '30 m2']",512,-419,908,398,839,-464,358,-148,307,220,881,-210,1920,1080
4,4,44.0101793003268,17,29,1,2,1,q,5.53670910000801,5.905,4.405,medium,1.5,"[3, '0,1 km', '20 m2', 2, '1,1 km', '23 m2']",557,-397,860,384,885,-445,404,-128,357,219,841,-180,1920,1080
5,5,55.0107637001202,8,22,1,2,1,p,8.29807060025632,5.26,6.28,medium,1.02,"[3, '1,1 km', '21 m2', 3, '0,25 km', '18 m2']",522,-432,810,383,837,-459,355,-135,308,228,871,-140,1920,1080
6,6,66.0088764000684,19,25,1,2,1,q,6.82501440029591,8.095,5.875,easy,2.22,"[4, '0,7 km', '23 m2', 3, '0,2 km', '20 m2']",569,-415,837,341,887,-462,367,-87,345,262,873,-190,1920,1080
7,7,77.0090441000648,13,23,1,2,1,q,6.5848274002783,8.425,5.905,easy,2.52,"[4, '0,6 km', '20 m2', 3, '1,5 km', '24 m2']",552,-462,824,293,845,-489,409,-114,342,212,850,-145,1920,1080
8,8,88.0088759004138,1,25,1,2,1,p,7.60296819964424,7.36,5.875,medium,1.485,"[4, '2,6 km', '17 m2', 3, '0,2 km', '20 m2']",525,-420,778,273,806,-457,405,-64,392,216,879,-186,1920,1080
9,9,99.009257200174,7,11,1,2,1,q,6.95764520019293,5.35,4.45,hard,0.9,"[3, '1,8 km', '18 m2', 3, '4,2 km', '19 m2']",484,-391,824,292,848,-431,454,-71,375,263,834,-164,1920,1080
10,10,110.009442200419,6,18,1,2,1,p,7.80950719956309,6.655,8.26,medium,1.605,"[3, '0,1 km', '20 m2', 4, '0,65 km', '23 m2']",489,-341,828,242,807,-459,502,-58,376,213,879,-187,1920,1080
11,11,121.00910730008,14,26,1,2,1,p,7.58481660019606,8.59,9.04,hard,0.449999999999999,"[4, '0,05 km', '22 m2', 5, '1,7 km', '30 m2']",484,-391,851,198,759,-446,455,-74,372,163,832,-205,1920,1080
12,12,132.008864900097,3,18,1,2,1,p,10.1919929999858,6.1,8.26,medium,2.16,"[3, '0,04 km', '18 m2', 4, '0,65 km', '23 m2']",459,-348,854,248,709,-451,502,-92,329,137,869,-171,1920,1080
13,13,143.009192800149,15,26,1,2,1,p,6.8137634000741,5.83,9.04,easy,3.21,"[3, '0,45 km', '18 m2', 5, '1,7 km', '30 m2']",452,-397,850,198,759,-453,518,-139,281,124,820,-163,1920,1080
14,14,154.008944200352,1,21,1,2,1,q,6.00384799996391,7.36,4.645,easy,2.715,"[4, '2,6 km', '17 m2', 3, '2,1 km', '18 m2']",493,-425,859,149,809,-450,472,-159,254,82,851,-202,1920,1080
15,15,165.009002900217,3,10,1,2,1,q,9.84493419993669,6.1,5.08,medium,1.02,"[3, '0,04 km', '18 m2', 3, '1,8 km', '20 m2']",443,-427,854,99,845,-415,504,-121,269,34,863,-154,1920,1080
16,16,176.009208000265,2,26,1,2,1,p,6.02679429994896,8.68,9.04,hard,0.359999999999999,"[4, '0,06 km', '23 m2', 5, '1,7 km', '30 m2']",423,-473,903,108,864,-461,527,-165,292,-10,862,-204,1920,1080
17,18,187.010611400008,0,23,1,2,1,,NaN,7.825,5.905,medium,1.92,"[4, '0,04 km', '18 m2', 3, '1,5 km', '24 m2']",373,-468,859,131,897,-423,539,-117,293,40,864,-154,1920,1080
18,19,198.010279500391,8,29,1,2,1,q,7.13185369968414,5.26,4.405,hard,0.855,"[3, '1,1 km', '21 m2', 2, '1,1 km', '23 m2']",349,-424,829,171,857,-393,513,-160,297,-10,909,-132,1920,1080
19,20,209.010413500015,23,25,1,2,1,p,7.36950170015916,5.905,5.875,hard,0.0300000000000002,"[3, '1,5 km', '24 m2', 3, '0,2 km', '20 m2']",397,-409,780,163,896,-424,465,-147,251,10,859,-131,1920,1080
20,21,220.010648000054,6,13,1,2,1,p,8.32624350022525,6.655,8.425,medium,1.77,"[3, '0,1 km', '20 m2', 4, '0,6 km', '20 m2']",347,-413,814,200,860,-390,513,-135,291,-20,826,-93,1920,1080
21,22,231.010417800397,7,20,1,2,1,p,6.8403639998287,5.35,7.45,medium,2.1,"[3, '1,8 km', '18 m2', 4, '1,1 km', '14 m2']",297,-414,848,163,824,-425,536,-90,270,-66,833,-143,1920,1080
22,23,242.010348900221,14,24,1,2,1,q,6.95662279985845,8.59,6.085,easy,2.505,"[4, '0,05 km', '22 m2', 3, '3,3 km', '30 m2']",324,-372,838,114,873,-417,566,-50,294,-22,796,-176,1920,1080
23,24,253.00909060007,15,23,1,2,1,,NaN,5.83,5.905,hard,0.0750000000000002,"[3, '0,45 km', '18 m2', 3, '1,5 km', '24 m2']",374,-365,788,119,836,-451,591,-93,261,-60,841,-153,1920,1080
24,25,264.008871600032,25,29,1,2,1,q,7.40092879999429,5.875,4.405,medium,1.47,"[3, '0,2 km', '20 m2', 2, '1,1 km', '23 m2']",331,-391,838,123,883,-467,569,-138,245,-107,887,-172,1920,1080
25,26,275.009074500296,0,29,1,2,1,q,6.26085679978132,7.825,4.405,easy,3.42,"[4, '0,04 km', '18 m2', 2, '1,1 km', '23 m2']",380,-401,803,158,860,-423,581,-89,281,-72,854,-134,1920,1080
26,29,286.008963300381,3,8,1,2,1,q,6.63193379994482,6.1,5.26,hard,0.84,"[3, '0,04 km', '18 m2', 3, '1,1 km', '21 m2']",427,-418,775,199,909,-431,606,-46,249,-33,868,-86,1920,1080
27,31,297.008979600389,4,28,1,2,1,q,5.10993619961664,5.17,3.43,medium,1.74,"[3, '2,2 km', '17 m2', 2, '3,8 km', '18 m2']",399,-377,766,248,869,-402,616,3,299,-35,868,-136,1920,1080
28,32,308.00885310024,6,29,1,2,1,q,6.35720920003951,6.655,4.405,easy,2.25,"[3, '0,1 km', '20 m2', 2, '1,1 km', '23 m2']",404,-427,805,279,875,-452,571,-20,312,13,845,-180,1920,1080
