Var1,TrialNr,TrialTime,Option1,Option2,GrOption,BlOption,GreenL_1_orR_2_,ResponseKey,RT,Option1Val,Option2Val,DifficultyBin,ChoiceDiff,Attribs,Attr1Xpos,Attr1Ypos,Attr2Xpos,Attr2Ypos,Attr3Xpos,Attr3Ypos,Attr4Xpos,Attr4Ypos,Attr5Xpos,Attr5Ypos,Attr6Xpos,Attr6Ypos,ScreenXRes,ScreenYRes
0,0,0.0030278000049293,10,21,1,2,1,p,8.89931299997261,7.12,4.675,easy,2.445,"[4500, '6,3""', 128, 4000, '6,4""', 128]",-291,-440,-763,488,-401,2,-827,-259,-287,276,-759,198,1920,1080
1,1,11.0108943000087,4,11,1,2,1,p,5.2279916999978,3.925,6.1,medium,2.175,"[15000, '6,5""', 64, 4500, '6,4""', 128]",-340,-448,-774,439,-403,52,-811,-211,-271,323,-773,150,1920,1080
2,2,22.010449399997,8,15,1,2,1,p,6.18248540000059,6.325,5.575,hard,0.75,"[5000, '6,4""', 256, 5000, '6,7""', 128]",-378,-415,-821,422,-378,9,-861,-208,-279,274,-730,176,1920,1080
3,4,33.01055180002,2,5,1,2,1,q,6.15612339996733,4.51,1.285,easy,3.225,"[4380, '5,7""', 128, 3020, '6""', 32]",-392,-367,-786,458,-338,-22,-811,-214,-315,308,-686,200,1920,1080
4,5,44.0109463999979,0,16,1,2,1,p,3.91889480000828,4.615,6.61,medium,1.995,"[8000, '6,1""', 64, 4800, '6,8""', 128]",-423,-328,-742,435,-310,20,-802,-165,-365,304,-637,190,1920,1080
5,6,55.0089065000066,15,26,1,2,1,q,6.69319339998765,5.575,6.4,medium,0.824999999999999,"[5000, '6,7""', 128, 4500, '6,5""', 256]",-429,-378,-699,460,-288,-25,-781,-211,-409,280,-625,141,1920,1080
6,7,66.008814300003,4,21,1,2,1,p,5.99920560000464,3.925,4.675,hard,0.750000000000001,"[15000, '6,5""', 64, 4000, '6,4""', 128]",-478,-369,-701,410,-323,11,-817,-176,-359,281,-600,98,1920,1080
7,8,77.0091845000279,0,10,1,2,1,p,5.89265559997875,4.615,7.12,easy,2.505,"[8000, '6,1""', 64, 4500, '6,3""', 128]",-481,-419,-691,361,-273,15,-768,-165,-391,319,-554,117,1920,1080
8,9,88.0090380000183,2,29,1,2,1,q,4.68875989998924,4.51,1.36,easy,3.15,"[4380, '5,7""', 128, 3000, '6""', 32]",-468,-371,-670,406,-261,63,-759,-116,-354,353,-573,163,1920,1080
9,10,99.0089321000269,3,16,1,2,1,q,6.16674489999423,7,6.61,hard,0.390000000000001,"[5000, '6,7""', 128, 4800, '6,8""', 128]",-418,-377,-714,431,-246,111,-726,-79,-328,396,-541,201,1920,1080
10,11,110.008894000028,0,21,1,2,1,p,7.5780923999846,4.615,4.675,hard,0.0600000000000005,"[8000, '6,1""', 64, 4000, '6,4""', 128]",-406,-328,-709,481,-235,160,-774,-93,-351,440,-585,224,1920,1080
11,12,121.0091197,5,7,1,2,1,p,4.24163689999841,1.285,2.23,medium,0.945,"[3020, '6""', 32, 3100, '5,9""', 64]",-386,-282,-704,431,-284,169,-750,-137,-302,447,-536,212,1920,1080
12,13,132.008808600018,10,21,1,2,1,q,7.04398179997224,7.12,4.675,easy,2.445,"[4500, '6,3""', 128, 4000, '6,4""', 128]",-397,-233,-753,422,-235,158,-772,-182,-255,431,-486,214,1920,1080
13,14,143.009087399987,24,28,1,2,1,p,4.65065880003385,3.28,7.135,easy,3.855,"[12500, '5,9""', 64, 6000, '6,4""', 256]",-372,-190,-784,383,-263,117,-819,-199,-291,466,-527,186,1920,1080
14,15,154.008984500018,0,24,1,2,1,p,7.44564250000985,4.615,3.28,medium,1.335,"[8000, '6,1""', 64, 12500, '5,9""', 64]",-383,-141,-751,421,-217,138,-770,-206,-270,421,-490,219,1920,1080
